"","source","target","weight","type"
"287","Twista","Apathy","1","undirected"
"288","Future","A$AP Rocky","1","undirected"
"289","Leslie Odom Jr.","Christopher Jackson","5","undirected"
"290","J. Doe","G-Eazy","1","undirected"
"291","Little Dragon","Mac Miller","1","undirected"
"292","Okieriete Onaodowan","Daveed Diggs","12","undirected"
"293","Tech N9ne","B.o.B","1","undirected"
"294","Smoke Dza","Royce Da 5'9""","1","undirected"
"295","Arcangel","Mozart La Para","1","undirected"
"296","T Bone","Fred B","1","undirected"
"297","Mistah F.A.B.","B.o.B","1","undirected"
"298","Bumps Inf","Sevin","2","undirected"
"299","Michael Bolton","Mr. Fish","1","undirected"
"300","K'NAAN","Riz MC","1","undirected"
"301","KB","Lecrae","1","undirected"
"302","Noni Blanco","Sleepy D","1","undirected"
"303","Marvalyss","Blacastan","1","undirected"
"304","Renee Elise Goldsberry","Phillipa Soo","4","undirected"
"305","Skeme","AD","1","undirected"
"306","JT","Jon Conner","2","undirected"
"307","Dillon Francis","DJ Snake","1","undirected"
"308","Jim Jones","Philthy Rich","1","undirected"
"309","Yung Gleesh","Tyler, The Creator","1","undirected"
"310","Jadakiss","Pete Rock","1","undirected"
"311","Moonshine Bandits","Lenny Cooper","1","undirected"
"312","ScHoolboy Q","A$AP Rocky","1","undirected"
"313","Joell Ortiz","Joe Budden","1","undirected"
"314","Chief Keef","Mac Miller","1","undirected"
"315","Blacastan","CZARFACE","1","undirected"
"316","Young Dolph","Peewee Longway","1","undirected"
"317","Lil Wayne","The Game","2","undirected"
"318","The Jacka","Tone ..C","1","undirected"
"319","G Mo Skee","Mouton","1","undirected"
"320","Apollo Brown","Conway","1","undirected"
"321","June","Lil Goofy","1","undirected"
"322","K-Ci & JoJo","Detail","1","undirected"
"323","Nicki Minaj","Meek Mill","3","undirected"
"324","Talley Of 300","No Fatigue","2","undirected"
"325","Anthony Ramos","Sasha Hutchings","1","undirected"
"326","Problem","Riff Raff","1","undirected"
"327","De La Soul","Estelle","1","undirected"
"328","Vinnie Paz","Eamon","2","undirected"
"329","Diddy","Pusha T","2","undirected"
"330","Eshon Burgundy","Jeremiah Bligen","2","undirected"
"331","Jarren Benton","Bernz","1","undirected"
"332","HG Free","Jay Warren","1","undirected"
"333","Nas","Juicy J","1","undirected"
"334","Too $hort","Bobby V.","1","undirected"
"335","Jonathan Thulin","NF","1","undirected"
"336","Jay 305","AD","2","undirected"
"337","Ruslan","Sarah Juers","1","undirected"
"338","Montana of 300","Kevin Gates","1","undirected"
"339","Skepta","Wiley","1","undirected"
"340","Tiara","Mr. Porter","1","undirected"
"341","Vince Staples","Kilo Kish","1","undirected"
"342","Tech N9ne Collabos","Godemis","1","undirected"
"343","Kappa Gamma","Oh No","1","undirected"
"344","Jay 305","RJ","2","undirected"
"345","PJ","Skizzy Mars","1","undirected"
"346","E-40","Kamaiyah","1","undirected"
"347","Jonathan Groff","Original Broadway Cast of Hamilton","1","undirected"
"348","Starrah","Kid Ink","1","undirected"
"349","Dora","Young Thug","1","undirected"
"350","Trouble","Lil Durk","1","undirected"
"351","Madeintyo","A$AP Rocky","1","undirected"
"352","Anthony Ramos","Ephraim Sykes","1","undirected"
"353","Rick Ross","Wiz Khalifa","1","undirected"
"354","MO3","No Shame","2","undirected"
"355","Jadakiss","Mistah F.A.B.","1","undirected"
"356","Bizzle","Sevin","5","undirected"
"357","Skrillex","A$AP Ferg","1","undirected"
"358","Clif Soulo","White Dave","1","undirected"
"359","Trae Tha Truth","Yo Gotti","1","undirected"
"360","Boosie Badazz","Z-Ro","1","undirected"
"361","Rich Homie Quan","DJ Drama","2","undirected"
"362","E-40","Husalah","1","undirected"
"363","Fashawn","Lupe Fiasco","1","undirected"
"364","Demun Jones","Danny Boone","1","undirected"
"365","Darrein Safron","Stevie Stone","1","undirected"
"366","Istevie","E-40","1","undirected"
"367","Drake","YG","1","undirected"
"368","The Game","Kendrick Lamar","2","undirected"
"369","Domo Genesis","Wiz Khalifa","1","undirected"
"370","YFN Lucci","Marissa","1","undirected"
"371","Moonshine Bandits","J Rosevelt","1","undirected"
"372","Blaze Ya Dead Homie","Twiztid","2","undirected"
"373","Ezale","Philthy Rich","1","undirected"
"374","Ben Folds","Regina Spektor","1","undirected"
"375","Savage","J-Real","2","undirected"
"376","Wale","Young Dolph","1","undirected"
"377","Estelle","Pete Rock","1","undirected"
"378","Keyshia Cole","Silke","1","undirected"
"379","Lin-Manuel Miranda","Aloe Blacc","1","undirected"
"380","Talley Of 300","J-Real","2","undirected"
"381","Madeintyo","2 Chainz","1","undirected"
"382","London Jae","T.I.","3","undirected"
"383","Rittz","Tech N9ne Collabos","3","undirected"
"384","Alexio","DJ Luian","2","undirected"
"385","Future","Drake","11","undirected"
"386","Shy Carter","DJ Quik","1","undirected"
"387","The Game","Nas","2","undirected"
"388","Mark Ronson","A$AP Rocky","1","undirected"
"389","Young Gunner","Sarah Ross","1","undirected"
"390","Lil Keke","Adoni","1","undirected"
"391","Rich Homie Quan","Young Thug","1","undirected"
"392","Offset","Quavo","1","undirected"
"393","Blaze Ya Dead Homie","Kung Fu Vampire","1","undirected"
"394","E-40","Young Chu","1","undirected"
"395","Diddy","Big Sean","1","undirected"
"396","Camille Faulkner","Derek Minor","1","undirected"
"397","De La Soul","Pete Rock","1","undirected"
"398","Selah the Corner","Datin","2","undirected"
"399","KXNG Crooked","Kobe Honeycutt","1","undirected"
"400","Selah the Corner","Beleaf","1","undirected"
"401","2Meka","Yella","1","undirected"
"402","Solo Lucci","Offset","1","undirected"
"403","Gracy","John Givez","1","undirected"
"404","Original Broadway Cast of Hamilton","Thayne Jasperson","1","undirected"
"405","E-40","Turf Talk","1","undirected"
"406","Apollo Brown","Westside Gunn","1","undirected"
"407","G Mo Skee","Hopsin","1","undirected"
"408","Mistah F.A.B.","Kendrick Lamar","1","undirected"
"409","C-Murder","Cuttyboy G Dinero","1","undirected"
"410","Buddy","A$AP Rocky","1","undirected"
"411","Tyler Lyon","Prozak","1","undirected"
"412","Zoey Dollaz","Philthy Rich","1","undirected"
"413","Adam Vida","Grieves","1","undirected"
"414","Iamnobodi","G-Eazy","1","undirected"
"415","Kendrick Lamar","Anna Wise","2","undirected"
"416","Deion","The Game","2","undirected"
"417","Ty Dolla $ign","Babyface","1","undirected"
"418","Rittz","Wrekonize","1","undirected"
"419","The Lonely Island","Akon","1","undirected"
"420","Mitch E-Slick","Joe Moses","2","undirected"
"421","Darrein Safron","Tech N9ne","1","undirected"
"422","Jeremih","Chris Brown","1","undirected"
"423","Yo Gotti","Future","2","undirected"
"424","Big K.R.I.T.","T.I.","1","undirected"
"425","Demun Jones","Redneck Souljers","1","undirected"
"426","C-Murder","VS","2","undirected"
"427","Jeezy","Jessica Care Moore","1","undirected"
"428","Watsky","Grieves","1","undirected"
"429","Alexio","Pusho","1","undirected"
"430","Rite Hook","Skam2?","1","undirected"
"431","Tatiana Paulino","A$AP Ferg","1","undirected"
"432","Demoz","Vinnie Paz","2","undirected"
"433","Nef The Pharaoh","Philthy Rich","1","undirected"
"434","D Double E","ASAP Nast","1","undirected"
"435","Mick Jenkins","BadBadNotGood","1","undirected"
"436","Hannibal Buress","Lil Dicky","1","undirected"
"437","Marley Blu","YG","1","undirected"
"438","STATIK KXNG","Termanology","1","undirected"
"439","Berner","Cozmo","1","undirected"
"440","Junior Maile","Jamesthemormon","2","undirected"
"441","Madeintyo","Lil Yachty","1","undirected"
"442","Eazy-E","Dr. Dre","1","undirected"
"443","Adoni","Pimp C","1","undirected"
"444","Pharrell Williams","Diddy","1","undirected"
"445","Lin-Manuel Miranda","Ephraim Sykes","1","undirected"
"446","Tyler Lyon","Tech N9ne Collabos","2","undirected"
"447","Thundercat","Kendrick Lamar","2","undirected"
"448","Petite Noir","Danny Brown","1","undirected"
"449","The Roots","Nate Ruess","1","undirected"
"450","Trouble","Migos","1","undirected"
"451","Nicki Minaj","Jeremih","2","undirected"
"452","E-40","Philthy Rich","1","undirected"
"453","Janelle Monáe","Jeezy","1","undirected"
"454","Keyshia Cole","G-Eazy","1","undirected"
"455","Common","Syd","2","undirected"
"456","Ice Cub","Dr. Dre","1","undirected"
"457","The Game","Jay Rock","2","undirected"
"458","White Dave","Legendvry","1","undirected"
"459","JL B.Hood","Wrekonize","1","undirected"
"460","Berner","Young Dolph","1","undirected"
"461","Rick Ross","A$AP Ferg","1","undirected"
"462","Lil Dicky","Rich Homie Quan","1","undirected"
"463","Miguel","ScHoolboy Q","1","undirected"
"464","Lil Uzi Vert","DJ Drama","2","undirected"
"465","Burnt Out","YG","1","undirected"
"466","The Alchemist","Prodigy","1","undirected"
"467","Yung Lord","A$AP Nast","1","undirected"
"468","Quez","Strap","1","undirected"
"469","Young Thug","Offset","2","undirected"
"470","Cosculluela","De La Ghetto","2","undirected"
"471","Mozzy","Lex Aura","2","undirected"
"472","Leezy Lyfe","E MOZZY","1","undirected"
"473","Justin Bieber","Travis Scott","1","undirected"
"474","E-40","G-Eazy","2","undirected"
"475","Danny Brown","Kendrick Lamar","1","undirected"
"476","DJ Khaled","JAY Z","1","undirected"
"477","Problem","JP Cali","1","undirected"
"478","Skepta","A$AP Rocky","1","undirected"
"479","Anthony Ramos","Ariana DeBose","1","undirected"
"480","DJ Mustard","Nipsey Hussle","2","undirected"
"481","Rod Stewart","Mark Ronson","1","undirected"
"482","Redneck Souljers","I4NI","1","undirected"
"483","Iggy Azalea","Wiz Khalifa","1","undirected"
"484","Berner","Strap","1","undirected"
"485","Slim Jxmmi","K CAMP","1","undirected"
"486","Cardi B","Josh X","1","undirected"
"487","Social Club Misfits","Chris Durso","1","undirected"
"488","Rome Fortune","PJ","1","undirected"
"489","E-40","Baby Treeze","1","undirected"
"490","Dizzy Wright","B-Real","1","undirected"
"491","Rick Ross","DJ Mustard","1","undirected"
"492","RJmrLA","YG","1","undirected"
"493","Dame D.O.L.L.A","Jamie Foxx","1","undirected"
"494","Skeme","Jay 305","1","undirected"
"495","Ras Kass","O.C.","1","undirected"
"496","Ransom","Vinnie Paz","1","undirected"
"497","The Game","Mvrcus Blvck","4","undirected"
"498","T Bone","Don Chief","1","undirected"
"499","Ruslan","John Givez","12","undirected"
"500","Randy Nota Loca","Arcangel","2","undirected"
"501","La Coka Nostra","Sadie Vada","1","undirected"
"502","Mozzy","Peezy","1","undirected"
"503","E-40","Yo Gotti","1","undirected"
"504","Wiz Khalifa","Buddy","2","undirected"
"505","Boosie Badazz","2Meka","1","undirected"
"506","Plies","YFN Lucci","1","undirected"
"507","Bernz","Krizz Kaliko","1","undirected"
"508","Wale","Kid Ink","1","undirected"
"509","Adam Vida","Rafael Casal","1","undirected"
"510","E-40","Keak Da Sneak","1","undirected"
"511","YG","21 Savage","1","undirected"
"512","Aloe Blacc","Dave East","1","undirected"
"513","Chris Brown","Jeezy","1","undirected"
"514","Riff Raff","Danny Brown","1","undirected"
"515","Santa Estilo","Cartel De Santa","1","undirected"
"516","Stro Elliot","J. Period","1","undirected"
"517","Yo Gotti","YG","1","undirected"
"518","Ronald Isley","James Fauntleroy","1","undirected"
"519","Kendrick Lamar","Big Sean","1","undirected"
"520","Jeremih","DJ Mustard","1","undirected"
"521","La Coka Nostra","Apathy","1","undirected"
"522","Ty Dolla $ign","Problem","2","undirected"
"523","Germ","Pouya","1","undirected"
"524","Common","Tasha Cobbs","1","undirected"
"525","Ty Dolla $ign","Mac Miller","2","undirected"
"526","Gucci Mane","Big Sean","1","undirected"
"527","Lil Dicky","Snoop Dogg","1","undirected"
"528","Mac Miller","Lil Uzi Vert","1","undirected"
"529","marcus wells","Don Chief","2","undirected"
"530","The Game","Scheme","1","undirected"
"531","The-Dream","A$AP Rocky","1","undirected"
"532","The Game","AV","1","undirected"
"533","Trae Tha Truth","Liz Rodrigues","1","undirected"
